Reaction, colour
C=O.O=CC(O)C(O)(CO)CO.[OH-]>>O=CO.OCC(O)C(O)(CO)CO,#c9bf8b
C=O.O=CC(O)C(O)C(O)(CO)CO.[OH-]>>O=CO.OCC(O)C(O)C(O)(CO)CO,#c13737
C=O.O=CC(O)C(O)C(O)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)C(O)C(O)CO,#c13737
C=O.O=CC(O)C(O)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)C(O)CO,#000000
C=O.O=CC(O)C(O)CO.[OH-]>>O=CO.OCC(O)C(O)CO,#c9bf8b
C=O.O=CC(O)CO.[OH-]>>O=CO.OCC(O)CO,#c9bf8b
C=O.O=CCO.[OH-]>>O=CO.OCCO,#c9bf8b
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C[C@](O)(CO)[C@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)[C@@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C([C@H](O)CO)[C@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C[C@](O)(CO)[C@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)CO>>O=C([C@@H](O)CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)CO>>O=C([C@H](O)CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)CO>>O=C[C@](O)(CO)[C@H](O)CO,#c13737
C=O.OC=C(O)[C@H](O)CO>>O=C[C@@](O)(CO)[C@H](O)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=C([C@@H](O)CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=C([C@H](O)CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=C(C(O)CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=C[C@](O)(CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=C[C@@](O)(CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)(CO)CO>>O=CC(O)(CO)C(O)(CO)CO,#c13737
C=O.OC=C(O)C(O)C(O)CO>>O=C(C(O)CO)C(O)C(O)CO,#c13737
C=O.OC=C(O)C(O)C(O)CO>>O=CC(O)(CO)C(O)C(O)CO,#c13737
C=O.OC=C(O)C(O)CO>>O=C(C(O)CO)C(O)CO,#c13737
C=O.OC=C(O)C(O)CO>>O=CC(O)(CO)C(O)CO,#c13737
C=O.OC=C(O)CO>>O=C(CO)[C@@H](O)CO,#c13737
C=O.OC=C(O)CO>>O=C(CO)[C@H](O)CO,#c13737
C=O.OC=C(O)CO>>O=C(CO)C(O)CO,#c13737
C=O.OC=C(O)CO>>O=CC(O)(CO)CO,#c13737
C=O.OC=C(O)CO>>O=CC(O)(CO)CO,#c13737
C=O.OC=CO>>O=C[C@@H](O)CO,#c13737
C=O.OC=CO>>O=C[C@H](O)CO,#c13737
C=O.OC=CO>>O=CC(O)CO,#c13737
C=O.OCC(O)=C(O)[C@@H](O)CO>>O=C([C@@H](O)CO)C(O)(CO)CO,#c13737
C=O.OCC(O)=C(O)[C@@H](O)CO>>O=C(CO)[C@](O)(CO)[C@@H](O)CO,#c13737
C=O.OCC(O)=C(O)[C@@H](O)CO>>O=C(CO)[C@@](O)(CO)[C@@H](O)CO,#c13737
C=O.OCC(O)=C(O)[C@H](O)CO>>O=C([C@H](O)CO)C(O)(CO)CO,#c13737
C=O.OCC(O)=C(O)[C@H](O)CO>>O=C(CO)[C@](O)(CO)[C@H](O)CO,#c13737
C=O.OCC(O)=C(O)[C@H](O)CO>>O=C(CO)[C@@](O)(CO)[C@H](O)CO,#c13737
C=O.OCC(O)=C(O)C(O)CO>>O=C(C(O)CO)C(O)(CO)CO,#c13737
C=O.OCC(O)=C(O)C(O)CO>>O=C(CO)C(O)(CO)C(O)CO,#c13737
C=O.OCC(O)=C(O)CO>>O=C(CO)C(O)(CO)CO,#c13737
C=O.OCC(O)=C(O)CO>>O=C(CO)C(O)(CO)CO,#c13737
O.OC[C@@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO,#000000
O.OC[C@@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@H](O)CO)[C@H](O)[C@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO,#000000
O.OC[C@H](O)C(O)=C(O)[C@H](O)CO>>O.O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@@H](O)CO>>O.O=C(CO)[C@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@@H](O)CO>>O.O=C[C@@H](O)[C@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@@H](O)CO>>O.O=C[C@H](O)[C@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@H](O)CO>>O.O=C(CO)[C@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@H](O)CO>>O.O=C[C@@H](O)[C@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@](O)(CO)[C@H](O)CO>>O.O=C[C@H](O)[C@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@@H](O)CO>>O.O=C(CO)[C@@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@@H](O)CO>>O.O=C[C@H](O)[C@@](O)(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@H](O)CO>>O.O=C(CO)[C@@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@H](O)CO>>O.O=C[C@@H](O)[C@@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@@](O)(CO)[C@H](O)CO>>O.O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@@H](O)C(O)(CO)CO>>O.O=C(CO)[C@@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@@H](O)C(O)(CO)CO>>O.O=C[C@@H](O)[C@@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@@H](O)C(O)(CO)CO>>O.O=C[C@H](O)[C@@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@@H](O)CO>>O.O=C[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C(CO)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C[C@@H](O)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C[C@H](O)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)C(O)(CO)C(O)CO>>O.O=C(CO)C(O)(CO)C(O)CO,#000000
O.OC=C(O)C(O)(CO)C(O)CO>>O.O=CC(O)C(O)(CO)C(O)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C(CO)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C(CO)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C[C@@H](O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=CC(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)(CO)CO>>O.O=C(CO)C(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)(CO)CO>>O.O=CC(O)C(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)C(O)CO>>O.O=C(CO)C(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)C(O)CO>>O.O=CC(O)C(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)CO>>O.O=C(CO)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)CO>>O.O=CC(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)CO>>O.O=C(CO)C(O)CO,#000000
O.OC=C(O)C(O)CO>>O.O=CC(O)C(O)CO,#000000
O.OC=C(O)CO>>O.O=C(CO)CO,#000000
O.OC=C(O)CO>>O.O=C(CO)CO,#000000
O.OC=C(O)CO>>O.O=C[C@@H](O)CO,#000000
O.OC=C(O)CO>>O.O=C[C@H](O)CO,#000000
O.OC=C(O)CO>>O.O=CC(O)CO,#000000
O.OC=CO>>O.O=CCO,#000000
O.OC=CO>>O.O=CCO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
